# LALSimulation RG SLy4 EoS from COMPOSE
        n(fm-3)             rho(MeVfm-3)              P(MeVfm-3)
9.997788649458271805e-12 9.303933622540053432e-09 1.052673507402366674e-14
1.000001055361604977e-11 9.303943441569045454e-09 1.053186985009137506e-14
1.000002135045554590e-11 9.303953486891841084e-09 1.053700713082225273e-14
1.000003239612390952e-11 9.303963763723709859e-09 1.054214691743800075e-14
1.000004369635576411e-11 9.303974277400112313e-09 1.054728921116087074e-14
1.000005525701789623e-11 9.303985033379482614e-09 1.055243401321394894e-14
1.000006708411229932e-11 9.303996037246036015e-09 1.055758132482067656e-14
1.000007918377929180e-11 9.304007294712695416e-09 1.056273114720518114e-14
1.000009156230070778e-11 9.304018811624049363e-09 1.056788348159209665e-14
1.000010422610315418e-11 9.304030593959374570e-09 1.057303832920689959e-14
1.000011718176134362e-11 9.304042647835751075e-09 1.057819569127541984e-14
1.000013043600151625e-11 9.304054979511236964e-09 1.058335556902417046e-14
1.000014399570493265e-11 9.304067595388120843e-09 1.058851796368026401e-14
1.000015786791142975e-11 9.304080502016232213e-09 1.059368287647132901e-14
1.000017205982309952e-11 9.304093706096361041e-09 1.059885030862582382e-14
1.000018657880801608e-11 9.304107214483718675e-09 1.060402026137258074e-14
1.000020143240405666e-11 9.304121034191509618e-09 1.060919273594110261e-14
1.000021662832281607e-11 9.304135172394561190e-09 1.061436773356141922e-14
1.000023217445362311e-11 9.304149636433065698e-09 1.061954525546438707e-14
1.000024807886762313e-11 9.304164433816370575e-09 1.062472530288123818e-14
1.000026434982197535e-11 9.304179572226895907e-09 1.062990787704387667e-14
1.000028099576413253e-11 9.304195059524108211e-09 1.063509297918473205e-14
1.000029802533623537e-11 9.304210903748603396e-09 1.064028061053706844e-14
1.000031544737959253e-11 9.304227113126298917e-09 1.064547077233451440e-14
1.000033327093927539e-11 9.304243696072675552e-09 1.065066346581138797e-14
1.000035150526881128e-11 9.304260661197168086e-09 1.065585869220259727e-14
1.000037015983499150e-11 9.304278017307625457e-09 1.066105645274358208e-14
1.000038924432277949e-11 9.304295773414890039e-09 1.066625674867061524e-14
1.000040876864034171e-11 9.304313938737469551e-09 1.067145958122034192e-14
1.000042874292419659e-11 9.304332522706326434e-09 1.067666495163008415e-14
1.000044917754447157e-11 9.304351534969771454e-09 1.068187286113770036e-14
1.000047008311028956e-11 9.304370985398476414e-09 1.068708331098186627e-14
1.000049147047527638e-11 9.304390884090599367e-09 1.069229630240164886e-14
1.000051335074318793e-11 9.304411241377019013e-09 1.069751183663678562e-14
1.000053573527369556e-11 9.304432067826711373e-09 1.070272991492762308e-14
1.000055863568826360e-11 9.304453374252225729e-09 1.070795053851503313e-14
1.000058206387619162e-11 9.304475171715299518e-09 1.071317370864073016e-14
1.000060603200077956e-11 9.304497471532610553e-09 1.071839942654679145e-14
1.000063055250565597e-11 9.304520285281643386e-09 1.072362769347598847e-14
1.000065563812122741e-11 9.304543624806699600e-09 1.072885851067161649e-14
1.000068130187129267e-11 9.304567502225053691e-09 1.073409187937781486e-14
1.000070755707979918e-11 9.304591929933237981e-09 1.073932780083907793e-14
